,0,1,2,3,4,5,6,7,8
133,9.2285,9.1331,9.3685,10.8965,10.8795,11.1087,9.5987,9.4776,9.8096
134,9.1691,9.087,9.3124,10.8036,10.7959,11.0201,9.486,9.3777,9.7073
135,9.0581,8.9922,9.2263,10.7261,10.7316,10.9758,9.3799,9.2926,9.6221
136,8.9617,8.9125,9.1346,10.6638,10.6889,10.9105,9.3225,9.2605,9.5724
137,9.0,8.9569,9.2086,10.634,10.6582,10.9005,9.343,9.2862,9.6211
138,9.2252,9.1591,9.4281,10.5672,10.5795,10.832,9.597,9.52,9.8664
139,9.2157,9.1877,9.4808,10.4831,10.506,10.7851,9.4795,9.4368,9.7955
140,9.2298,9.1809,9.5034,10.3959,10.4132,10.722,9.3907,9.3364,9.7123
141,9.221,9.1709,9.5075,10.3146,10.3202,10.6433,9.398,9.3402,9.7299
142,9.1532,9.1315,9.4115,10.2661,10.3074,10.5975,9.4091,9.406,9.7302
143,9.0647,9.0614,9.3081,10.1863,10.227,10.5409,9.3629,9.3529,9.7053
144,8.9921,8.9694,9.1971,10.1775,10.202,10.4857,9.3313,9.2989,9.6213
145,8.8904,8.8658,9.0583,10.1808,10.2077,10.4354,9.28,9.2493,9.5259
146,8.8962,8.8188,9.0096,10.2422,10.1947,10.4596,9.3379,9.2369,9.5271
147,8.8728,8.8399,9.0192,10.2324,10.2453,10.4948,9.2787,9.2339,9.5098
148,8.8404,8.8203,8.9815,10.1511,10.178,10.4137,9.3701,9.3356,9.5913
149,8.8383,8.8568,9.0325,10.1098,10.1702,10.418,9.3009,9.305,9.5763
150,8.8379,8.9118,9.0406,10.0609,10.1706,10.3806,9.2167,9.2633,9.4935
151,8.7412,8.7872,8.9604,9.9912,10.091,10.3343,9.1992,9.2404,9.5097
152,8.6875,8.734,8.9247,9.9209,10.0215,10.2786,9.1548,9.1995,9.4814
153,8.6475,8.6888,8.8522,9.8463,9.9405,10.1719,9.164,9.2017,9.4414
154,8.6467,8.6922,8.8698,9.8819,9.9783,10.2209,9.1094,9.146,9.4089
155,8.5975,8.6371,8.8088,9.9832,10.0599,10.3054,9.1529,9.1783,9.437
156,8.4948,8.5306,8.7206,9.8896,9.9644,10.2396,9.0452,9.0694,9.3531
157,8.3926,8.4111,8.6298,9.7863,9.8441,10.1342,8.9487,8.9527,9.2598
158,8.4352,8.4068,8.7089,9.7901,9.8174,10.1635,8.9203,8.8943,9.2543
159,8.4607,8.4163,8.708,9.8463,9.8479,10.1907,8.9537,8.898,9.266
160,8.5729,8.5154,8.7908,9.9064,9.9023,10.2286,8.9618,8.9002,9.2538
161,8.6652,8.6339,8.8364,9.8318,9.8509,10.1249,8.926,8.8864,9.1876
162,8.7248,8.7578,8.8938,9.8582,9.9206,10.1488,8.8799,8.8834,9.1432
163,8.672,8.6784,8.8296,9.8861,9.9321,10.1592,8.8261,8.8134,9.0732
164,8.6399,8.6651,8.8559,9.8321,9.897,10.1539,8.741,8.7407,9.0154
165,8.6107,8.6245,8.8285,9.6976,9.7477,10.0091,8.6663,8.6636,8.9398
166,8.5586,8.5655,8.7502,9.5814,9.6257,9.874,8.5654,8.5601,8.8214
167,8.4389,8.4588,8.6591,9.5744,9.6372,9.89,8.4897,8.4953,8.7531
168,8.3998,8.3925,8.6351,9.5629,9.5874,9.8751,8.4186,8.4182,8.6952
169,8.4037,8.4099,8.6353,9.502,9.542,9.8091,8.3658,8.3663,8.6439
170,8.4601,8.4521,8.6696,9.4832,9.5147,9.7685,8.3301,8.3226,8.5907
171,8.4914,8.4853,8.7001,9.4972,9.5248,9.7769,8.3653,8.3557,8.6202
172,8.5077,8.5037,8.6925,9.5257,9.5583,9.7815,8.3648,8.3609,8.5999
173,8.4461,8.3976,8.593,9.5618,9.5364,9.7626,8.3893,8.3375,8.5794
174,8.3632,8.3191,8.5055,9.5426,9.5288,9.7347,8.3635,8.3292,8.5515
175,8.2928,8.2488,8.4306,9.4894,9.4749,9.6866,8.3866,8.3439,8.5677
176,8.2164,8.1652,8.339,9.4302,9.4119,9.6201,8.3648,8.3108,8.5328
177,8.2802,8.2039,8.3412,9.3576,9.3294,9.5204,8.3742,8.3043,8.4979
178,8.2164,8.1486,8.2681,9.3272,9.2984,9.4505,8.4011,8.3405,8.4957
179,8.1742,8.0905,8.2053,9.2845,9.2333,9.3844,8.4187,8.3283,8.4924
180,8.1695,8.0546,8.18,9.239,9.1605,9.3209,8.441,8.3114,8.5024
181,8.1173,7.973,8.114,9.2842,9.1474,9.3345,8.387,8.2313,8.4409
182,8.08,7.922,8.0835,9.3047,9.154,9.3684,8.3108,8.1602,8.3842
183,8.031,7.8496,8.0429,9.3182,9.1366,9.3915,8.3345,8.1467,8.4163
